NOMBRE,EQUIPO,MJ,PJ,%,PC,%,PT,%,PS,%,TA,TR,SA,G,PR,GPP,GE
Abde Ezzalzouli,Real Betis,1772,28,82.35,2,7.14,20,58.82,18,52.94,2,0,0,2,1,0,25
Abde Rebbach,Granada CF,383,8,23.53,1,12.50,4,11.76,3,8.82,1,0,0,0,0,0,7
Abdoulaye Keita,Getafe CF,94,3,8.82,0,0.00,1,2.94,1,2.94,0,0,0,0,0,0,0
Abdón Prats,RCD Mallorca,435,24,72.73,1,4.17,3,9.09,2,6.06,4,0,0,2,1,0,6
Abel Ruiz,Girona FC,1238,19,57.58,1,5.26,16,48.48,15,45.45,3,0,0,4,0,0,17
Adri Embarba,Rayo Vallecano,1487,32,94.12,1,3.13,16,47.06,15,44.12,4,0,0,1,0,0,20
Adrián Arnu,Real Valladolid CF,10,3,8.82,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
Adrián Niño,Atlético de Madrid,11,1,2.94,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
Malcom Abdulai Ares Djaló,Real Zaragoza,18,1,2.94,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,1
Aingeru Olabarrieta,Athletic Club,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
Akor Adams,Sevilla FC,131,4,11.76,1,25.00,1,2.94,0,0.00,0,0,0,0,0,0,3
Alberto Marí,Real Zaragoza,6,1,2.94,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
Alejo Véliz,RCD Espanyol de Barcelona,1005,24,70.59,2,8.33,10,29.41,8,23.53,3,0,0,1,0,0,20
Alex Almansa,RCD Espanyol de Barcelona,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
Alex Berenguer,Athletic Club,2083,33,97.06,4,12.12,25,73.53,21,61.76,5,0,0,5,2,0,15
Alex Marchal,Real Sociedad,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
Alexander Sørloth,Atlético de Madrid,1321,31,91.18,2,6.45,12,35.29,10,29.41,4,0,0,13,0,0,11
Alfon González,RC Celta,1211,23,67.65,3,13.04,12,35.29,9,26.47,1,1,0,4,1,0,25
Amath Ndiaye,Real Valladolid CF,350,11,32.35,0,0.00,5,14.71,5,14.71,0,0,0,0,0,0,6
Ander Barrenetxea,Real Sociedad,1098,26,76.47,0,0.00,12,35.29,12,35.29,5,0,0,1,0,0,17
Ansu Fati,FC Barcelona,232,6,17.65,0,0.00,3,8.82,3,8.82,1,0,0,0,0,0,1
Ante Budimir,CA Osasuna,2631,34,100.00,14,41.18,30,88.24,16,47.06,3,0,0,18,6,0,40
Antoine Griezmann,Atlético de Madrid,2351,34,100.00,9,26.47,28,82.35,19,55.88,2,0,0,8,0,0,20
Antoniu Roca,RCD Espanyol de Barcelona,881,23,67.65,0,0.00,11,32.35,11,32.35,3,0,0,0,0,0,7
Antony Matheus dos Santos,Real Betis,1106,13,38.24,9,69.23,13,38.24,4,11.76,1,0,0,4,1,0,14
Arkaitz Mariezkurrena,Real Sociedad,108,5,14.71,0,0.00,0,0.00,0,0.00,1,0,0,1,0,0,3
Arnaut Danjuma,Girona FC,1515,26,76.47,5,19.23,18,52.94,13,38.24,3,0,0,4,0,0,30
Asier Villalibre,Deportivo Alavés,305,15,44.12,0,0.00,2,5.88,2,5.88,2,0,0,1,0,0,10
Assane Diao,Como,272,10,29.41,0,0.00,2,5.88,2,5.88,0,0,0,1,0,0,4
Ayoze Pérez,Villarreal CF,1768,27,79.41,9,33.33,19,55.88,10,29.41,3,0,0,16,0,0,23
Bertug Yildirim,Getafe CF,1049,19,55.88,2,10.53,14,41.18,12,35.29,7,0,0,1,1,0,8
Bojan Miovski,Girona FC,856,15,45.45,1,6.67,12,36.36,11,33.33,0,0,0,2,1,0,17
Borja Iglesias,RC Celta,1800,33,97.06,1,3.03,22,64.71,21,61.76,2,0,0,9,2,0,29
Borja Mayoral,Getafe CF,831,20,58.82,3,15.00,4,11.76,1,2.94,0,0,0,4,0,0,10
Bryan Gil,Girona FC,1734,25,75.76,4,16.00,21,63.64,17,51.52,4,0,0,3,0,0,31
Bryan Zaragoza,CA Osasuna,1533,23,67.65,2,8.70,18,52.94,16,47.06,4,0,0,1,0,0,25
Carles Pérez,Getafe CF,1429,27,79.41,4,14.81,15,44.12,11,32.35,2,0,0,3,0,0,17
Carlos Lumbreras,CA Osasuna,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
Carlos Martín,Deportivo Alavés,1312,24,70.59,1,4.17,16,47.06,15,44.12,3,0,0,2,0,0,13
Carlos Vicente,Deportivo Alavés,2737,33,97.06,23,69.70,31,91.18,8,23.53,1,0,0,4,0,0,37
Chidera Ejuke,Sevilla FC,946,23,67.65,1,4.35,9,26.47,8,23.53,0,0,0,2,0,0,11
Chimy Ávila,Real Betis,670,19,55.88,2,10.53,6,17.65,4,11.76,5,1,0,2,0,0,7
Francisco Jorge Tavares Oliveira,RCD Mallorca,141,8,24.24,0,0.00,1,3.03,1,3.03,2,0,0,0,0,0,2
Coba da Costa,Getafe CF,889,16,47.06,1,6.25,11,32.35,10,29.41,4,0,0,1,0,0,9
Cristhian Stuani,Girona FC,722,27,81.82,0,0.00,2,6.06,2,6.06,3,0,0,8,0,0,11
Cucho Hernández,Real Betis,877,11,32.35,2,18.18,11,32.35,9,26.47,0,0,0,3,1,0,10
Cyle Larin,RCD Mallorca,1561,27,81.82,2,7.41,19,57.58,17,51.52,4,0,0,6,1,0,18
Cédric Bakambu,Real Betis,609,22,64.71,0,0.00,5,14.71,5,14.71,4,0,0,2,1,0,4
Dani Gómez,Real Zaragoza,526,14,41.18,1,7.14,5,14.71,4,11.76,0,0,0,2,0,0,9
Dani Raba,CD Leganés,1633,25,73.53,6,24.00,20,58.82,14,41.18,5,0,0,7,1,0,24
Dani Rodríguez,FC Barcelona,38,1,2.94,0,0.00,1,2.94,1,2.94,0,0,0,0,0,0,1
Daniel Díaz,Real Sociedad,9,1,2.94,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,1
Daniel Yáñez,Real Madrid,1,1,2.94,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
Darwin Machís,Real Valladolid CF,620,17,50.00,0,0.00,7,20.59,7,20.59,0,0,0,0,0,0,17
David Otorbi,Valencia CF,13,1,2.94,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
Dawda Camara,Girona FC,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
Diego García,CD Leganés,923,24,70.59,3,12.50,10,29.41,7,20.59,2,0,0,3,1,0,19
Diego López,Valencia CF,2513,34,100.00,9,26.47,31,91.18,22,64.71,2,0,0,7,1,0,39
Diego Martín Pérez,UD Las Palmas,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
Dodi Lukébakio,Sevilla FC,2828,34,100.00,22,64.71,33,97.06,11,32.35,3,1,0,11,0,0,43
Luís Henriques de Barros Lopes,CD Leganés,141,7,20.59,0,0.00,1,2.94,1,2.94,1,0,0,0,0,0,1
Elías Romero,UD Las Palmas,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
Endika Bujan,Athletic Club,6,1,2.94,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
Endrick Felipe Moreira de Sousa,Real Madrid,215,19,55.88,0,0.00,1,2.94,1,2.94,1,0,0,1,1,0,4
Etienne Eto'o Pineda,Rayo Vallecano,38,2,5.88,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,1
Karl Edouard Blaise Etta Eyong,Villarreal CF,2,1,2.94,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
Ferran Torres,FC Barcelona,1011,26,76.47,2,7.69,11,32.35,9,26.47,1,1,0,10,0,0,18
Fábio Daniel Soares Silva,UD Las Palmas,1877,24,70.59,9,37.50,22,64.71,13,38.24,7,0,0,10,0,0,33
Álvaro Miguel García Pascual,Sevilla FC,197,4,11.76,0,0.00,1,2.94,1,2.94,1,0,0,0,0,0,2
