NOMBRE,EQUIPO,BLOQ,INTER,R,D,EE,EF,JUH,DE,DF,DAE,DAF
Abde Ezzalzouli,Real Betis,3,5,84,5,22,10,0,125,137,19,32
Abde Rebbach,Granada CF,0,0,16,6,2,1,0,13,36,2,11
Abdoulaye Keita,Getafe CF,0,0,6,3,2,0,0,6,16,3,4
Abdón Prats,RCD Mallorca,1,1,12,3,1,0,0,23,33,13,19
Abel Ruiz,Girona FC,2,4,19,7,1,3,0,26,52,7,18
Adri Embarba,Rayo Vallecano,1,12,54,11,13,19,0,75,107,9,24
Adrián Arnu,Real Valladolid CF,0,0,0,0,0,0,0,1,0,0,0
Adrián Niño,Atlético de Madrid,0,0,0,0,0,0,0,0,1,0,1
Malcom Abdulai Ares Djaló,Real Zaragoza,0,0,1,0,0,0,0,0,4,0,0
Aingeru Olabarrieta,Athletic Club,0,0,0,0,0,0,0,0,0,0,0
Akor Adams,Sevilla FC,0,0,0,1,0,0,0,1,2,1,2
Alberto Marí,Real Zaragoza,0,0,0,0,0,0,0,0,1,0,0
Alejo Véliz,RCD Espanyol de Barcelona,2,3,18,18,1,0,0,70,76,43,46
Alex Almansa,RCD Espanyol de Barcelona,0,0,0,0,0,0,0,0,0,0,0
Alex Berenguer,Athletic Club,2,8,78,11,11,11,0,89,122,22,40
Alex Marchal,Real Sociedad,0,0,0,0,0,0,0,0,0,0,0
Alexander Sørloth,Atlético de Madrid,1,1,34,20,2,4,0,105,86,74,34
Alfon González,RC Celta,0,4,24,3,2,2,0,38,50,1,8
Amath Ndiaye,Real Valladolid CF,1,2,11,1,0,1,0,11,21,1,4
Ander Barrenetxea,Real Sociedad,0,9,73,11,15,6,0,59,97,7,11
Ansu Fati,FC Barcelona,0,0,4,0,1,0,0,6,9,1,4
Ante Budimir,CA Osasuna,4,1,36,13,7,8,0,153,189,107,108
Antoine Griezmann,Atlético de Madrid,0,6,70,20,16,12,0,79,79,18,19
Antoniu Roca,RCD Espanyol de Barcelona,1,3,16,4,4,6,0,41,42,5,10
Antony Matheus dos Santos,Real Betis,0,5,32,4,6,7,0,31,45,3,6
Arkaitz Mariezkurrena,Real Sociedad,0,1,4,1,0,1,0,3,6,1,0
Arnaut Danjuma,Girona FC,1,1,31,1,6,3,0,34,53,2,1
Asier Villalibre,Deportivo Alavés,0,1,6,7,1,0,0,29,34,19,10
Assane Diao,Como,0,0,12,3,3,2,0,19,26,8,6
Ayoze Pérez,Villarreal CF,0,4,39,8,10,8,0,77,84,8,18
Bertug Yildirim,Getafe CF,2,1,21,12,3,3,0,90,94,63,51
Bojan Miovski,Girona FC,0,2,13,7,5,2,0,34,46,13,21
Borja Iglesias,RC Celta,2,4,40,6,7,1,0,53,103,8,23
Borja Mayoral,Getafe CF,0,0,17,4,2,0,0,31,51,14,26
Bryan Gil,Girona FC,0,10,78,7,20,14,0,115,131,1,5
Bryan Zaragoza,CA Osasuna,0,1,41,8,9,4,0,81,98,1,9
Carles Pérez,Getafe CF,1,6,43,16,21,8,0,66,121,12,23
Carlos Lumbreras,CA Osasuna,0,0,0,0,0,0,0,0,0,0,0
Carlos Martín,Deportivo Alavés,1,5,45,13,16,13,0,71,104,10,17
Carlos Vicente,Deportivo Alavés,2,11,93,16,19,9,0,121,154,25,43
Chidera Ejuke,Sevilla FC,0,2,50,4,9,4,0,68,63,3,6
Chimy Ávila,Real Betis,0,2,27,6,3,4,0,35,36,7,8
Francisco Jorge Tavares Oliveira,RCD Mallorca,0,2,10,0,0,1,0,14,33,1,5
Coba da Costa,Getafe CF,0,5,25,5,10,11,0,49,58,12,12
Cristhian Stuani,Girona FC,0,5,9,6,4,0,0,17,34,9,12
Cucho Hernández,Real Betis,1,3,12,0,2,3,0,29,30,12,14
Cyle Larin,RCD Mallorca,3,1,33,10,3,4,0,72,141,39,64
Cédric Bakambu,Real Betis,1,0,17,4,3,1,0,21,55,10,23
Dani Gómez,Real Zaragoza,0,2,14,4,2,1,0,21,42,7,24
Dani Raba,CD Leganés,2,12,72,11,18,11,0,103,104,4,10
Daniel Yáñez,Real Madrid,0,0,0,0,0,0,0,1,0,0,0
Darwin Machís,Real Valladolid CF,0,3,21,6,3,1,0,15,17,4,1
David Otorbi,Valencia CF,0,0,0,0,0,0,0,0,0,0,0
Dawda Camara,Girona FC,0,0,0,0,0,0,0,0,0,0,0
Diego García,CD Leganés,1,1,13,6,0,0,0,49,69,31,44
Diego López,Valencia CF,0,10,68,7,13,9,0,77,139,12,47
Diego Martín Pérez,UD Las Palmas,0,0,0,0,0,0,0,0,0,0,0
Dodi Lukébakio,Sevilla FC,0,4,89,8,12,6,0,144,153,13,12
Luís Henriques de Barros Lopes,CD Leganés,0,0,6,0,3,1,0,18,9,0,0
Elías Romero,UD Las Palmas,0,0,0,0,0,0,0,0,0,0,0
Endika Bujan,Athletic Club,0,0,0,0,0,0,0,1,2,0,0
Endrick Felipe Moreira de Sousa,Real Madrid,0,3,3,0,1,0,0,11,15,2,4
Etienne Eto'o Pineda,Rayo Vallecano,0,0,0,1,0,0,0,6,5,6,2
Karl Edouard Blaise Etta Eyong,Villarreal CF,0,0,0,0,0,0,0,0,0,0,0
Ferran Torres,FC Barcelona,1,1,18,2,3,2,0,21,22,2,5
Fábio Daniel Soares Silva,UD Las Palmas,0,3,44,22,5,4,0,104,123,45,44
Álvaro Miguel García Pascual,Sevilla FC,0,2,5,1,0,1,0,4,6,3,2
Gerard Moreno,Villarreal CF,0,2,19,4,4,3,0,41,33,15,4
Germán Valera,Elche CF,0,4,4,2,1,0,0,9,9,1,2
Giuliano Simeone,Atlético de Madrid,1,10,62,11,9,10,0,76,76,8,21
Gonzalo García,Real Madrid,0,0,0,0,0,0,0,0,0,0,0
Gorka Guruzeta,Athletic Club,3,5,44,15,4,7,0,63,125,27,56
Hamza Bellari,Valencia CF,0,0,0,0,0,0,0,0,0,0,0
Hugo Duro,Valencia CF,2,10,39,7,7,5,0,109,150,50,81
Hugo Novoa,Deportivo Alavés,1,0,9,5,5,3,0,13,17,1,8
Iago Aspas,RC Celta,1,6,46,3,8,4,0,61,55,8,7
Iker Almena,,0,0,2,2,0,0,0,3,2,0,0
Iker Benito,CD Mirandés,0,1,3,2,0,0,0,1,4,0,1
Ilias Akhomach,Villarreal B,0,3,30,9,7,5,0,58,47,7,6
Irvin Cardona,Saint-Étienne,1,4,19,8,5,3,0,27,41,9,11
Isaac Romero,Sevilla FC,1,6,51,20,5,5,0,85,168,27,46
Israel Domínguez,Sevilla FC,0,0,0,0,0,0,0,1,1,0,1
Iñaki Williams,Athletic Club,3,12,69,24,10,7,0,109,123,26,21
Iñigo Arguibide,CA Osasuna,0,0,0,0,0,0,0,0,0,0,0
Jaime Mata,UD Las Palmas,1,3,15,7,1,5,0,35,44,15,23
Antonino Jastin García López,Girona FC,0,0,0,0,0,0,0,0,0,0,0
Javi Llabrés,CD Eldense,0,0,3,0,0,0,0,2,2,1,0
Javi Puado,RCD Espanyol de Barcelona,2,4,65,12,12,3,0,61,92,8,23
Javier Martón,Albacete BP,0,0,2,0,0,0,0,2,2,2,1
Jesús Rodriguez,Real Betis,0,5,40,1,11,2,0,65,69,3,5
Joaquín Panichelli,CD Mirandés,0,0,0,0,0,0,0,0,0,0,0
Jofre Carreras,RCD Espanyol de Barcelona,0,12,90,18,12,6,0,93,109,2,11
Jonathan Bamba,,0,5,52,5,7,5,0,49,55,6,10
Jones El Abdellaoui,RC Celta,0,0,0,0,0,0,0,0,0,0,0
Jorge de Frutos,Rayo Vallecano,0,14,78,10,13,12,0,81,143,10,17
José Arnáiz,CA Osasuna,0,1,10,1,3,0,0,9,7,1,2
Juan Miguel Jiménez López,Getafe CF,0,3,30,5,10,5,0,44,43,10,7
Juanmi Latasa,Real Valladolid CF,1,0,15,6,0,1,0,76,76,56,39
Julen Lartitegi,Deportivo Alavés,0,0,0,0,0,0,0,0,0,0,0
Julián Álvarez,Atlético de Madrid,0,0,56,8,14,6,0,59,113,12,27
Kike Barja,CA Osasuna,0,3,7,3,3,0,0,16,17,5,2
Kike García,Deportivo Alavés,2,0,63,16,8,1,0,142,137,83,72
Min-Su Kim,,0,0,1,0,0,1,0,2,4,0,1
Kylian Mbappé,Real Madrid,0,0,33,0,5,3,0,103,133,2,4
Lamine Yamal Nasraoui Ebana,FC Barcelona,0,11,84,3,22,10,0,179,149,0,1
Leandro Antonetti,Sevilla FC,0,0,1,0,0,0,0,0,0,0,0
Luis Rioja,Valencia CF,1,21,86,23,17,10,0,101,119,11,20
Luka Romero,,0,1,9,0,4,0,0,10,15,2,4
Mamadou Sylla,Real Valladolid CF,0,2,22,10,1,2,0,63,73,36,48
Marc Cardona,UD Las Palmas,0,0,5,0,1,1,0,4,11,0,4
Marc Domenech,RCD Mallorca,0,0,3,0,0,0,0,6,11,5,5
Marcos André de Sousa Mendonça,Real Valladolid CF,2,3,43,10,6,4,0,101,103,47,44
Maroan Sannadi,Athletic Club,0,0,6,0,0,0,0,15,25,4,7
Martin Cuellar,Getafe CF,0,0,0,0,0,0,0,0,0,0,0
Martín Tejón,Valencia CF,0,0,4,0,0,2,0,5,10,0,3
Mateo Mejía,Sevilla FC,0,0,0,0,0,0,0,2,0,1,0
Miguel de la Fuente,CD Leganés,3,4,23,21,7,9,0,82,170,28,90
Mikel Oyarzabal,Real Sociedad,1,4,32,10,9,6,0,58,92,23,56
Munir El Haddadi,CD Leganés,1,0,25,1,8,3,0,43,56,8,18
Nico Serrano,Real Sporting,0,1,3,1,1,0,0,6,15,0,2
Nicholas Williams Arthuer,Athletic Club,1,6,72,4,15,9,0,124,165,11,14
Nicolas Pépé,Villarreal CF,1,3,30,6,3,5,0,46,60,9,13
Oliver McBurnie,UD Las Palmas,3,4,23,15,5,4,0,88,113,56,61
Omar Sadik,RCD Espanyol de Barcelona,0,0,0,0,0,0,0,0,0,0,0
Orri Óskarsson,Real Sociedad,1,2,13,9,6,0,0,37,76,26,51
Pablo Durán,RC Celta,2,7,31,5,6,4,0,34,84,8,22
Pablo García,Real Betis,0,0,2,0,0,0,0,1,1,0,0
Papa Dame Ba,Girona FC,0,0,1,0,1,0,0,6,3,0,0
Pau Cabanes,Deportivo Alavés,0,3,16,1,6,2,0,30,32,2,5
Pau Víctor,FC Barcelona,1,2,13,3,1,0,0,13,20,2,1
Gerard Fernández Castellano,Sevilla FC,0,7,29,3,3,7,0,41,72,6,21
Peter Federico González Carmona,Getafe CF,0,1,13,4,4,3,0,24,35,6,12
Cristian Portugués Manzanera,Girona FC,0,0,12,1,2,5,0,19,16,5,8
Rafa Mir,Valencia CF,0,1,7,6,5,3,0,19,27,7,11
Raphael Dias Belloli,FC Barcelona,2,6,78,19,20,12,0,106,87,5,5
Rayane Belaid,Atlético de Madrid,0,0,0,0,0,0,0,0,0,0,0
Raúl García,CA Osasuna,0,0,11,3,4,5,0,45,41,17,12
Raúl Moro,Real Valladolid CF,0,9,61,12,10,6,0,81,78,7,10
Raúl de Tomás,Rayo Vallecano,0,0,0,0,0,0,0,0,0,0,0
Robert Lewandowski,FC Barcelona,2,3,40,22,3,4,0,84,109,29,36
Roberto Fernández,RCD Espanyol de Barcelona,1,2,16,8,4,0,0,35,53,15,23
Rodrygo Silva de Goes,Real Madrid,1,8,56,6,12,3,0,93,79,6,12
Sandro Ramírez,UD Las Palmas,0,14,69,17,14,8,0,74,86,9,13
Sergi Guardiola,Rayo Vallecano,0,1,6,2,2,1,0,15,23,5,9
Sergio Camello,Rayo Vallecano,1,4,32,16,3,6,0,43,70,11,26
Sergio Ruiz,UD Las Palmas,0,0,0,0,0,0,0,0,0,0,0
Sheraldo Becker,Real Sociedad,0,1,29,10,2,0,0,27,32,7,16
Stipe Biuk,,0,0,0,0,0,0,0,0,0,0,0
