NOMBRE,EQUIPO,TA,TR,SA,FDJ,FR,FC,PR,PCOM,FPM,FPT
Abde Ezzalzouli,Real Betis,2,0,0,3,32,18,1,0,1,9
Abde Rebbach,Granada CF,1,0,0,2,6,5,0,0,0,5
Abdoulaye Keita,Getafe CF,0,0,0,0,0,6,0,0,0,0
Abdón Prats,RCD Mallorca,4,0,0,1,9,4,1,0,0,1
Abel Ruiz,Girona FC,3,0,0,5,10,6,0,0,0,2
Adri Embarba,Rayo Vallecano,4,0,0,12,18,23,0,0,2,5.75
Adrián Arnu,Real Valladolid CF,0,0,0,0,1,0,0,0,0,0
Adrián Niño,Atlético de Madrid,0,0,0,0,0,0,0,0,0,0
Malcom Abdulai Ares Djaló,Real Zaragoza,0,0,0,0,0,0,0,0,0,0
Aingeru Olabarrieta,Athletic Club,0,0,0,0,0,0,0,0,0,0
Akor Adams,Sevilla FC,0,0,0,1,0,0,0,0,0,0
Alberto Marí,Real Zaragoza,0,0,0,0,0,1,0,0,0,0
Alejo Véliz,RCD Espanyol de Barcelona,2,0,0,5,25,16,0,0,4,8
Alex Almansa,RCD Espanyol de Barcelona,0,0,0,0,0,0,0,0,0,0
Alex Berenguer,Athletic Club,4,0,0,4,22,21,2,0,1,5.25
Alex Marchal,Real Sociedad,0,0,0,0,0,0,0,0,0,0
Alexander Sørloth,Atlético de Madrid,3,0,0,4,12,18,0,0,4,6
Alfon González,RC Celta,1,1,0,5,20,13,1,0,0,13
Amath Ndiaye,Real Valladolid CF,0,0,0,2,5,3,0,0,1,0
Ander Barrenetxea,Real Sociedad,5,0,0,2,9,24,0,1,2,4.8
Chidera Ejuke,Sevilla FC,0,0,0,3,13,6,0,0,0,0
Chimy Ávila,Real Betis,5,1,0,5,18,13,0,0,0,2.6
Francisco Jorge Tavares Oliveira,RCD Mallorca,2,0,0,0,8,6,0,0,0,3
Coba da Costa,Getafe CF,3,0,0,0,8,5,0,0,1,1.67
Cristhian Stuani,Girona FC,2,0,0,4,2,19,0,0,2,9.5
Cucho Hernández,Real Betis,0,0,0,2,4,5,1,0,0,0
Cyle Larin,RCD Mallorca,4,0,0,18,24,21,1,0,3,5.25
Cédric Bakambu,Real Betis,4,0,0,10,6,18,1,0,1,4.5
Dani Gómez,Real Zaragoza,0,0,0,10,8,7,0,0,4,0
Dani Raba,CD Leganés,3,0,0,6,41,23,1,0,0,7.67
Daniel Yáñez,Real Madrid,0,0,0,0,1,0,0,0,0,0
Darwin Machís,Real Valladolid CF,0,0,0,2,6,2,0,0,0,0
David Otorbi,Valencia CF,0,0,0,0,0,0,0,0,0,0
Dawda Camara,Girona FC,0,0,0,0,0,0,0,0,0,0
Diego García,CD Leganés,0,0,0,6,15,15,1,0,1,0
Diego López,Valencia CF,2,0,0,12,26,15,1,0,0,7.5
Diego Martín Pérez,UD Las Palmas,0,0,0,0,0,0,0,0,0,0
Dodi Lukébakio,Sevilla FC,2,0,0,16,40,27,0,0,2,13.5
Luís Henriques de Barros Lopes,CD Leganés,1,0,0,0,6,1,0,0,0,1
Elías Romero,UD Las Palmas,0,0,0,0,0,0,0,0,0,0
Isaac Romero,Sevilla FC,8,0,0,11,31,29,1,1,2,3.63
Israel Domínguez,Sevilla FC,0,0,0,1,1,0,0,0,0,0
Iñaki Williams,Athletic Club,0,0,0,13,35,18,1,0,1,0
Iñigo Arguibide,CA Osasuna,0,0,0,0,0,0,0,0,0,0
Jaime Mata,UD Las Palmas,6,0,0,10,10,14,0,0,1,2.33
Antonino Jastin García López,Girona FC,0,0,0,0,0,0,0,0,0,0
Javi Llabrés,CD Eldense,0,0,0,1,1,0,0,0,0,0
Javi Puado,RCD Espanyol de Barcelona,4,0,0,4,21,14,1,0,1,3.5
Javier Martón,Albacete BP,1,0,0,1,0,1,0,0,0,1
Jesús Rodriguez,Real Betis,0,0,0,0,26,9,1,0,0,0
Joaquín Panichelli,CD Mirandés,0,0,0,0,0,0,0,0,0,0
Jofre Carreras,RCD Espanyol de Barcelona,5,0,0,3,45,24,0,0,5,4.8
Jonathan Bamba,,1,0,0,4,17,7,0,0,1,7
Jones El Abdellaoui,RC Celta,0,0,0,0,0,0,0,0,0,0
Jorge de Frutos,Rayo Vallecano,2,1,0,2,20,33,0,0,0,16.5
