Abde Ezzalzouli,Real Betis,1,32,262,211,51,568,417,9,2,0.02,0,0.02,0,0.02,0,0
Abde Rebbach,Granada CF,7,3,49,36,13,99,64,5,0,0,0,0,0,0,0,0
Abdón Prats,RCD Mallorca,0,1,56,24,32,53,35,2,0,0.2,0,0.2,0.1,0,0.1,0
Abdoulaye Keita,Getafe CF,0,2,22,15,7,25,13,1,0,0,0,0,0,0,0,0
Abel Ruiz,Girona FC,0,4,78,53,25,213,182,7,1,0.25,0,0.25,0,0.19,0.06,0
Adri Embarba,Rayo Vallecano,29,32,182,149,33,384,268,16,2,0.05,0,0.05,0,0.05,0,0
Adrián Arnu,Real Valladolid CF,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Adrián Niño,Atlético de Madrid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Aingeru Olabarrieta,Athletic Club,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akor Adams,Sevilla FC,0,0,3,0,3,3,2,0,0,0,0,0,0,0,0,0
Alberto Marí,Real Zaragoza,0,0,1,1,0,4,2,0,0,0,0,0,0,0,0,0
Alejo Véliz,RCD Espanyol de Barcelona,0,1,146,57,89,156,98,4,0,0.07,0,0.07,0,0.07,0,0
Alex Almansa,RCD Espanyol de Barcelona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Berenguer,Athletic Club,72,22,211,149,62,546,414,13,3,0.15,0,0.15,0.09,0.03,0.03,0
Alex Marchal,Real Sociedad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Sørloth,Atlético de Madrid,0,6,191,83,108,258,161,3,1,0.32,0,0.32,0.18,0.09,0.06,0
Alfon González,RC Celta,0,4,88,79,9,172,133,1,0,0.11,0,0.11,0,0.11,0,0
Álvaro Djaló,Athletic Club,0,6,79,60,19,72,47,4,0,0.11,0,0.11,0,0,0.11,0
Álvaro Miguel García Pascual,Sevilla FC,0,1,10,5,5,13,9,1,0,0,0,0,0,0,0,0
Álvaro Rodríguez,Getafe CF,0,8,213,86,127,153,79,0,1,0.2,0,0.2,0.1,0,0.1,0
