NOMBRE,EQUIPO,MJ,PJ,%PJ,PC,%PC,PT,%PT,PS,%PS,TA,TR,SA,G,PR,GPP,GE
ABDEL ARQAR,DEPORTIVO ALAVÉS,2211,26,92.86,22,84.62,26,92.86,4,14.2,12,0,0,0,1,0,38
ALEX SUAREZ,UD LAS PALMAS,780,24,85.71,15,62.5,24,85.71,9,32.14,11,0,0,0,0,1,28
YVANNIFYOU,COLESAMÉS,1070,23,82.14,14,60.87,22,78.57,8,28.57,11,0,0,1,0,0,29
MICA MÁRMOL,UD LAS PALMAS,1586,21,75,15,71.45,18,64.29,3,10,4,0,0,0,0,31,
LIOCAS TORRÓ,GA CASAKINA,2100,25,92.59,18,72,25,92.59,7,25.35,10,0,0,3,0,0,34
PO. LOZANO,RICO ESPANYOL DE BA...,1428,21,77.78,6,28.57,19,70.37,13,48.55,10,0,0,0,0,19,
DUSHÉ DAKONAM,GÉTATE-CF,2300,26,92.56,20,76.02,26,92.56,6,21.45,9,0,0,0,0,17,
MANUEL TENAGLIA,DEPORTIVO ALAVES,2155,25,89.29,22,88,25,89.29,3,10.71,9,0,0,1,0,35,
OMAR EL HILAU,RCD ESPANTOL DE BA...,2526,27,100,25,86.3,27,100,4,14.31,9,0,0,0,0,39,
ALEX BASINA,VILLARREAL CF,2003,26,96.3,12,50,25,92.59,12,44.44,8,0,0,6,0,0,21
ISLAG ROMERO,REVILLA FC,9372,24,65.71,8,33.33,23,82.14,15,53.57,8,0,2,1,0,20,
MARCOS ALORIO,PC CELTA,1830,22,78.57,10,86.36,20,71.42,1,3.57,8,1,2,0,0,25,
MUNDO ARAMBARRI,GELAVE CF,50.6,26,92.86,16,81.64,22,78.57,6,21.45,8,0,0,8,0,20,
VANGEL HERRERA,GROMA FC,532,20,71.43,13,65,18,64.29,5,17.86,8,1,0,4,1,0,21
YERSMY PINO,VILLARREAL CF,1362,25,92.59,1,4,18,68.67,17,62.96,8,0,0,1,1,0,22
ALEJANDRO CATENA,CA OSASINA,22:23,25,92.59,24,96,25,92.59,1,3.7,7,0,0,0,0,37,
BERTUR YILDIRIM,GETAFE CF,620,17,60.71,2,11.76,12,42.56,10,35.71,7,0,0,1,1,0,6
CLÉMENT LENGLET,ATLÉTICO DE MADRID,127.6,16,82.05,12,81.25,16,52.06,3,11.11,7,0,0,1,0,12,
FÁBIO DANIEL SOARES ...,UD LAS PALMAS,527,20,71.43,7,35,12,64.29,11,39.29,7,0,0,0,28,,
JAYI GALÁN,ATLÉTICO DE MADRID,1104,17,60.71,7,41.18,14,50,7,25,7,0,0,0,0,10,
JAYI GALÁN,ATLÉTICO DE MADRID,1104,17,60.71,7,41.18,14,50,7,25,7,0,0,0,0,10,
JOIN ARAUMURU,REAL SOCIEDAD,924,25,92.29,5,60,22,82.14,8,28.57,7,0,0,0,0,22,
JOIN MONCRYOLA,CA OSARINA,1788,25,92.59,4,35,21,77.78,17,62.96,7,0,0,0,0,26,
JOSÉ LUIS GARCÍA VIVA,VALENCIA CF,1388,25,89.29,11,44,15,53.57,4,14.5,7,1,0,1,0,0,28
LUKA MOORIO,REAL MADRID,1955,27,96.43,6,22.22,11,39.29,5,17.86,7,0,2,0,0,16,
MARASSI KUNIGULLA,ROD ESPANYOL DE BA...,2003,26,96.5,21,80.77,25,92.59,4,14.81,7,0,2,0,0,33,
OMAR ALDERETE,GEZAFE CF,2224,25,89.29,21,84,25,89.29,4,14.29,7,0,0,0,1,0,21
PATHE CRIS,RATO VALLECANO,1403,24,85.71,5,20.83,16,57.94,11,33.09,7,0,0,2,0,20,
ROBIN LE NORMAND,ATLÉTICO DE MADRID,1461,18,6.429,16,88.8,16,57.14,0,0,7,0,0,0,12,,
SEREICARDONA,VILLABREALCF,2272,27,100,21,77.78,27,100,6,22.22,7,0,0,1,0,26,
UMAI LOFEZ,BAYO VALLECANO,161,22,78.57,3,15.64,16,57.14,15,46.45,7,1,0,3,0,0,12
VALENTIN ROBER,COLESAIRES,1980,25,93.29,21,84,21,75,0,0,7,0,0,1,0,0,24
VINÉCHIS JOSÉ PALZÃO...,REAL MADRID,1748,22,78.57,13,50,19,67.86,8,26.57,7,1,0,30,2,0,17
ABDUL MARINI,RAYO VALLECAND,2000,24,85.71,22,91.67,24,85.71,2,7.14,6,1,0,2,0,0,21
ADINA-PEDROSA,SEVILLA FC,1706,22,78.57,11,50,20,74.63,9,23.14,6,0,0,1,0,0,19
ANTONIO BLANCO,DEPORTIVO ALAVÈS,1957,25,89.29,14,16,22,78.57,8,28.57,6,1,0,0,0,33,
BAR,SEVILLA FC,1877,16,53.14,8,50,14,50,6,21.45,6,1,0,1,0,0,15
BEBAY PRADOR,ATHLETIC CLUB,1241,22,79.57,3,15.64,15,51.57,12,42.56,6,0,0,1,0,0,11
CHRISTANTUS ICHE,GETAPE OF,209.5,27,76.45,10,37.04,24,95.71,14,50,6,1,1,2,0,17,
DANI PARSCO,VILLARREAL CF,1617,26,96.3,11,42.31,10,70.37,8,29.63,6,0,0,3,0,0,26
DESCO IRCO,GÉTATE-CF,2247,26,92.56,24,92.31,25,89.2,1,3.57,6,0,0,0,1,20,
IOOR ZURELINA,REAL SOCIEDAD,1924,25,82.14,20,95.96,25,82.14,3,10.71,6,1,0,0,0,24,
JAIME MATA,UD LAS PALMAS,456,22,78.57,0,0,3,10.71,3,10.71,6,0,0,0,0,9,
JAIME MATA,UD LAS PALMAS,456,22,78.57,0,0,3,10.71,3,10.71,6,0,0,0,0,9,
JESÚS ARESO,CA OSASINA,2105,25,92.5,18,77,24,98.99,6,22.22,6,0,0,0,20,,
JOSÉ ÁNGEL CABINONA,(2) SEVILLA FC,2272,26,92.86,10,71,26,92.86,7,25,6,0,0,0,0,32,
LIOCAS OLIVEIRA ROBA,,1800,21,75,21,100,21,75,0,0,6,0,0,0,0,45,
MANU SÁNCHEZ,DEPORTIVO ALAVÉS,1857,24,85.71,14,58.33,21,75,7,25,6,0,1,0,0,33,
RODRIGO DE FANA,ATLÉTICO DE MADRID,1577,26,92.86,7,26.92,17,60.71,10,35.71,6,0,3,0,12,,
ROMAN PERMUD,REAL BETIS,1506,21,75,14,66.67,17,60.71,3,10.71,6,1,0,1,0,22,
SANDRO RAMÍREZ,UD LAS PALMAS,1630,23,82.14,5,21.74,20,71.45,15,53.57,6,0,0,8,1,0,27
SANTI COMEJABA,VILLABREALCF,1754,25,92.59,II,44,21,77.75,10,37.04,6,0,0,2,0,0,32
ALBERTO MOLERO,UD LAS PALMAS,10:05,26,92.56,13,50,24,85.71,11,20.39,5,0,0,5,0,37,
AMAR OROZ,CA OSASINA,20:09,26,96.3,10,38.46,24,88.99,14,51.85,5,0,0,4,0,20,
BOOTT MCKENNA,UO LAS PALMAS,1877,22,78.57,20,90.01,21,76,1,3.57,5,1,0,0,0,24,
CAIR STAPFELT,RO CELTA,2076,25,89.29,21,94,23,82.14,2,7.14,5,0,0,1,0,0,33
CARLOS ROMERO,ROO ESPANYOL DE BA...,157.2,24,68.8,10,41.67,16,66.67,8,29.62,5,0,0,2,0,27,
CHIMY ÁVILA,REAL BETIS,655,13,64.2,2,11.11,6,21.43,4,14.29,5,1,0,2,0,7,
DJIBIEL SOW,SEVILLA FC,1677,23,92.14,7,20.43,18,64.2,11,20.29,5,0,0,1,0,20,
DORNY VAN DE BEER,GIRONA FC,138,22,78.57,4,13.18,15,53.57,11,20.29,5,0,2,0,0,21,
FLORIAN LEXEUME,INVOVALLECANO,258,26,100,27,96.45,26,100,1,3.57,5,0,0,0,31,,
HUBO ALVAREZ,RC CELTA,1365,22,78.57,9,40.01,14,50,5,17.86,5,0,0,4,0,0,26
IRIGO INÚZ DE GALANIL,ATILE ETC CLUB,1000,10,67.86,0,0,15,46.43,15,46.43,5,0,0,0,0,9,
JAYI RODRÍGUEZ,RC CELTA,1765,26,92.86,14,53.85,19,64.29,4,14.2,5,0,0,2,0,0,26
JAYI RODRÍGUEZ,RC CELTA,1765,26,92.86,14,53.85,19,64.29,4,14.2,5,0,0,2,0,0,26
JERO'S MAITIMAD FÉREZ,GETAFF CF,382,16,53.57,4,-6.67,4,M.29,5,17.86,5,0,0,0,0,2,
JOHAN MOJICA,RCD MALLORCA,2100,26,92.96,22,84.62,23,82.34,1,3.37,5,0,0,1,1,0,20
JOÑRE CARRENAS,RCD ESPANTOL DE BA..,1715,27,100,4,14.81,22,81.48,18,66.67,5,0,0,3,0,20,
JOSE MANUTE,ROO MALLORCA,922,18,64.2,9,50,9,25.34,0,0,5,0,0,0,0,14,
JUANMI LATASA,(17) REAL VALLADOLIU CF,722,10,67.85,2,15.7,6,21.44,3,10.71,5,1,0,2,0,0,22
LOIC BADE,SEVILLA FC,2000,23,92.44,22,95.65,22,78.57,0,0,5,0,0,1,0,0,30
LUCIEN AG OUMÉ,SEVILLA FC,1339,26,92.56,8,30.77,15,53.57,7,25,5,1,0,0,0,0,24
MANU MOREJARES,RICH MALLORICA,1924,19,67.86,4,21.05,15,46.45,9,23.14,5,0,0,0,0,15,
MARCOS AIRISÉ DE SOL,REAL VALLADOLDOF,181,20,71.45,2,10,14,50,12,42.96,5,0,1,0,0,22,
MARIO MARTHI,REAL VALLADOLDOF,1431,23,82.14,8,34.78,16,57.14,8,28.57,5,2,1,0,0,0,27
MCIRISA KOUROUANA X...,RC CELTA,1379,23,82.14,9,39.13,15,53.57,6,21.42,5,1,1,0,0,22,
MOUSSA DIARRA,DEPORTIVO ALAVÉS,1576,22,78.57,15,68.88,17,60.71,2,7.14,5,0,0,0,1,0,29
NAYEF AGUERO,REAL SOCIEDAD,1673,20,71.45,16,80,20,71.43,4,14.29,5,0,0,0,0,15,
ORICK ROMEU,GIRONA FC,1102,18,64.29,5,27.78,14,50,9,32.14,5,0,0,0,0,20,
ÓSOAR MINGUEZA,RC CELTA,1990,25,89.29,15,60,23,82.14,8,28.57,5,1,0,3,1,0,34
SELIM AMALLAH,REAL VILLADOLFO CF,1052,18,64.29,2,1111,13,46.43,11,33.93,5,0,0,2,0,0,25
STAMBO JUNG,REAL VALLADOLD OF,1555,21,75/00,7,23/32,14,50/00,7,25/00,5,1,1,0,0,0,24
TAKEFURA KUBO,REAL SOCIEDAD,1655,26,92/36,7,26/92,18,64/30,11,19/30,5,0,0,5,0,14,
